group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.0,35.1,37.7,42.2,38.5,38.0,46.6,44.3,43.5,45.9,43.8,42.6,46.3,46.1,44.7,44.1,45.7,46.2,42.3,45.9,42.3,38.8,41.5,49.4,44.8,47.3,41.8,37.4,33.7,50.3,47.3,44.7,42.1,48.6,35.4,40.2,44.2,42.2,49.0
1,38.6,34.0,36.3,39.2,41.8,44.4,47.8,45.4,44.6,48.1,45.0,43.1,47.0,49.1,47.2,47.5,49.4,48.9,45.8,48.3,44.8,39.5,40.1,51.1,46.8,49.2,41.3,38.7,34.0,51.9,49.2,45.6,43.8,50.9,34.0,37.5,44.2,44.2,51.5
2,38.4,34.1,35.2,37.7,37.1,35.7,45.7,44.4,43.5,46.1,43.8,42.2,45.2,46.4,44.4,43.7,46.2,45.9,42.3,46.2,40.3,37.4,39.5,44.7,42.6,43.3,39.6,37.4,37.2,45.5,43.1,40.8,38.8,45.0,35.5,41.8,45.6,39.4,51.1
3,38.5,32.0,33.2,34.9,43.4,36.6,47.7,47.7,46.3,49.6,47.9,46.8,45.4,47.4,44.3,45.2,44.3,46.3,43.6,45.5,41.9,36.7,39.6,49.0,46.9,47.7,40.3,36.7,34.7,50.0,49.0,45.9,41.0,49.0,32.8,37.4,40.1,38.5,47.9
4,38.7,37.4,36.4,40.6,38.4,37.3,40.4,39.3,38.0,41.1,39.3,37.4,39.7,41.9,40.9,40.1,42.1,42.1,38.9,41.4,39.2,35.9,39.3,44.4,42.5,43.4,40.1,37.0,33.3,45.3,42.9,41.1,38.4,44.5,36.7,42.0,42.5,39.9,47.8
5,38.5,36.0,31.8,34.1,36.5,35.9,40.1,40.0,39.6,42.0,39.7,37.3,39.3,44.0,42.2,44.0,44.6,44.0,40.9,44.3,39.2,36.7,38.7,45.1,41.2,43.6,38.7,36.1,34.3,45.2,43.2,40.4,39.1,45.0,35.5,37.4,41.9,38.8,43.7
6,38.4,38.2,37.4,36.7,36.9,39.8,39.8,38.8,38.6,40.9,38.8,38.0,38.8,42.2,39.9,39.9,42.3,40.5,39.2,41.5,37.1,34.7,38.5,43.3,40.3,42.0,39.1,36.3,31.7,43.5,41.8,39.9,36.9,43.0,35.6,39.2,43.1,36.8,44.5
7,38.5,38.1,33.2,36.0,39.5,37.3,38.9,38.9,37.6,39.6,38.2,39.2,38.3,40.2,39.1,38.9,40.5,39.5,38.4,40.8,37.5,35.3,40.8,43.2,41.4,42.5,39.5,36.9,36.5,44.8,42.3,40.9,37.1,43.4,38.3,36.3,42.1,38.6,44.0
8,38.3,34.0,39.8,40.7,38.2,40.4,40.5,41.1,39.6,41.4,42.2,40.1,40.3,40.4,40.2,40.8,41.0,41.2,41.2,40.5,37.2,35.8,36.7,43.8,42.1,42.8,39.0,35.5,34.2,44.7,41.9,40.2,36.1,43.6,34.6,40.1,45.0,40.5,48.1
9,38.2,40.0,33.2,37.9,39.5,40.7,43.6,44.1,42.7,45.1,44.3,42.9,42.7,43.7,41.6,41.8,43.5,41.1,39.7,43.4,41.1,41.1,42.4,45.2,42.8,43.6,42.3,42.3,38.9,46.6,44.4,43.9,38.9,46.1,40.4,39.5,43.4,39.6,48.6
