group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.2,36.9,36.4,41.4,39.5,36.5,46.8,45.2,44.2,47.3,45.0,43.7,45.8,45.8,45.5,45.0,44.5,46.4,43.2,46.6,44.1,41.2,43.2,51.0,46.7,48.0,43.6,40.3,36.2,50.5,47.2,44.8,44.8,50.8,33.9,44.8,48.0,42.5,45.0
1,39.3,32.1,38.7,35.7,37.7,37.2,47.7,46.1,46.6,47.3,46.1,46.0,47.4,44.9,43.5,43.3,44.6,44.7,42.2,46.7,40.9,38.5,41.2,47.4,44.8,46.4,41.2,37.8,37.0,48.7,46.9,43.4,41.5,47.0,34.1,38.6,46.3,40.2,47.6
2,38.9,37.9,38.0,41.2,39.7,40.1,40.9,38.7,38.1,41.9,37.9,36.1,40.1,44.8,44.2,44.2,46.6,46.1,43.3,43.1,44.3,41.5,40.2,49.6,45.1,47.9,43.1,40.8,33.0,49.9,46.6,44.0,42.7,49.8,39.2,43.6,45.7,41.1,45.5
3,38.3,36.8,35.7,34.6,38.3,39.9,41.7,41.5,42.2,44.3,42.7,41.3,40.3,44.5,43.0,44.1,44.8,45.0,42.2,43.8,38.8,36.6,37.6,45.4,41.9,43.7,38.7,37.3,33.2,45.4,43.5,40.9,38.3,45.3,35.1,39.2,40.3,38.3,48.1
4,38.6,41.6,36.4,40.6,37.4,36.3,43.8,42.0,41.6,45.2,42.2,38.0,42.7,47.0,44.2,45.3,48.0,45.5,41.8,45.2,43.1,42.5,43.8,48.3,44.4,47.1,44.1,42.1,37.2,48.8,45.3,43.8,42.9,47.8,38.9,40.1,41.9,38.6,43.1
5,38.4,39.3,33.6,37.2,35.6,38.2,38.6,38.6,37.7,40.9,38.6,35.7,38.1,41.4,40.9,41.0,42.4,41.8,39.0,40.4,37.4,35.9,38.5,43.1,40.3,42.2,38.6,37.0,34.1,44.1,41.9,38.7,37.3,43.3,36.0,41.0,43.3,36.3,47.4
6,38.4,36.8,38.0,36.7,41.2,39.7,40.2,40.4,38.3,42.3,42.2,41.8,39.4,38.6,41.2,38.0,38.3,42.9,42.2,39.3,37.8,35.3,38.3,44.0,45.0,44.5,38.4,36.5,36.0,47.3,46.1,44.1,37.2,44.0,36.0,38.3,43.0,42.9,47.3
7,38.4,37.5,32.9,38.0,39.8,39.8,40.5,39.7,39.0,41.1,38.9,40.3,39.6,42.0,39.0,39.0,42.1,40.2,38.8,41.0,37.9,36.6,39.4,44.2,42.7,43.0,39.8,38.5,35.1,45.8,42.5,40.8,38.2,45.1,37.6,37.1,42.3,40.3,44.2
8,38.2,39.5,36.5,39.0,33.4,35.3,41.3,38.8,37.8,42.1,38.8,36.8,41.6,40.6,37.3,39.2,40.3,37.9,36.5,40.9,38.5,38.4,41.7,43.5,37.9,40.9,39.6,38.4,38.3,41.2,37.3,35.3,38.4,44.1,38.3,38.2,40.9,35.4,44.0
9,38.3,41.8,36.3,41.5,40.0,41.7,45.1,45.7,44.2,46.3,46.2,44.1,44.5,44.9,42.2,43.3,44.5,41.7,41.2,44.7,44.0,44.5,45.7,47.0,43.3,44.9,44.4,44.6,40.4,46.7,44.5,45.4,41.6,46.3,41.6,41.4,44.5,40.8,50.8
