group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,38.0,36.3,36.0,36.2,38.9,39.8,49.3,46.1,44.6,50.0,45.3,42.3,48.4,49.7,47.6,46.2,50.0,48.7,43.0,49.9,45.4,42.3,44.8,53.6,47.6,50.9,46.5,43.5,36.8,53.9,48.9,44.8,46.6,54.3,39.1,42.2,45.5,42.4,49.4
1,38.3,35.3,37.2,38.1,36.7,40.4,43.6,42.5,41.8,47.3,43.1,41.8,42.8,43.7,41.8,40.9,43.2,42.9,39.1,44.2,41.8,37.6,41.0,46.9,42.0,44.4,42.9,40.1,33.9,49.9,46.2,42.4,42.1,46.7,32.6,43.5,48.7,40.4,48.8
2,38.8,37.2,35.3,38.8,41.7,36.4,45.8,43.1,41.6,45.7,42.0,40.2,44.7,46.8,46.0,44.8,47.8,47.3,43.0,46.7,42.8,41.0,43.0,50.8,46.6,48.7,44.8,42.5,35.6,52.0,49.2,46.2,42.6,51.1,36.8,39.5,43.7,43.3,45.8
3,39.1,40.7,36.5,41.6,42.4,38.3,46.5,45.0,42.4,47.1,45.0,42.1,45.0,49.2,48.3,48.1,50.1,50.7,46.5,48.7,42.2,40.0,41.5,51.9,48.2,49.8,43.1,41.1,35.7,53.6,50.2,46.9,41.0,51.6,37.3,38.9,42.7,43.0,47.0
4,38.9,40.7,38.8,40.6,42.9,42.9,42.9,37.0,41.8,42.2,37.3,39.4,40.9,44.0,42.0,46.7,44.5,44.1,45.8,45.5,41.0,39.2,39.8,47.5,46.3,47.9,42.6,40.8,37.5,47.6,47.3,46.3,38.3,46.8,38.4,40.9,45.5,45.4,43.1
5,39.1,40.6,39.7,41.9,45.3,45.6,38.3,38.2,38.4,40.1,38.3,38.1,37.9,42.1,41.0,43.0,43.0,41.7,41.4,41.1,41.3,41.4,38.1,50.0,48.3,50.3,41.1,41.5,33.5,51.7,49.1,48.5,40.3,49.5,39.0,43.2,47.9,45.1,45.6
6,38.7,34.9,39.0,39.7,36.7,41.0,37.7,38.4,38.2,39.0,38.8,38.3,36.3,38.9,37.7,38.7,38.4,38.1,38.6,37.6,35.8,34.1,37.1,39.5,38.6,38.6,37.4,34.9,34.4,39.4,38.9,38.8,35.4,38.5,32.5,37.8,40.1,36.3,46.2
7,39.3,39.1,39.0,42.5,36.0,40.0,38.6,39.3,39.2,39.6,39.4,39.4,35.9,36.7,36.6,38.4,36.6,37.5,38.9,37.5,34.5,34.2,36.2,38.4,37.9,37.8,37.6,35.6,34.6,40.0,38.9,38.1,35.3,38.0,33.7,39.8,43.6,35.1,46.1
8,38.1,31.2,38.0,37.8,38.1,40.1,40.4,41.2,41.5,41.6,41.3,42.0,40.0,37.9,37.0,37.6,37.8,37.8,37.1,37.8,36.4,34.7,37.6,40.1,39.7,39.8,37.6,33.4,30.2,40.2,39.9,39.8,36.0,39.7,33.1,35.5,40.0,39.2,43.8
9,38.0,37.7,36.8,39.6,36.7,39.2,36.3,36.4,36.9,37.5,36.8,36.4,34.9,34.6,34.1,35.3,34.8,35.4,35.5,34.3,35.2,32.1,34.1,36.8,35.7,36.1,35.7,32.6,33.3,37.4,36.3,36.5,34.5,36.4,37.1,36.0,40.2,37.2,44.6
