group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.0,36.1,34.7,35.7,35.9,41.7,44.2,41.5,40.4,44.0,41.0,39.3,43.1,45.6,43.0,42.7,46.1,44.7,40.5,45.5,44.8,40.8,42.4,49.4,45.4,47.4,44.9,42.4,34.7,50.5,47.2,44.0,44.6,49.8,37.0,43.4,46.5,40.0,50.4
1,38.4,33.8,36.9,39.3,36.4,37.6,43.1,40.6,38.5,43.5,39.9,38.0,43.0,45.1,42.3,42.4,45.9,44.4,39.7,44.9,41.8,38.4,39.8,47.4,41.9,45.1,42.9,39.8,34.7,49.2,44.4,40.6,42.3,48.0,33.7,40.6,45.7,38.6,48.1
2,39.2,35.8,34.7,38.7,38.9,38.0,43.1,40.7,40.5,43.5,41.0,39.9,42.6,45.6,44.1,43.4,46.3,45.8,42.1,44.5,41.8,39.6,41.9,49.4,44.6,46.9,43.3,41.0,34.6,50.9,46.9,42.9,42.4,49.3,36.5,38.8,43.6,39.8,44.9
3,38.5,34.5,35.9,38.1,37.7,41.4,41.8,41.0,39.4,42.7,41.1,40.8,40.3,43.2,42.7,41.5,43.6,43.6,40.8,42.4,39.4,37.8,38.5,45.6,41.9,42.7,40.2,38.6,34.1,46.0,43.2,40.6,39.8,45.0,35.1,37.6,42.9,37.7,43.4
4,38.4,42.2,33.9,35.4,37.6,35.3,44.1,40.3,38.5,44.7,40.7,37.5,42.2,47.4,42.5,43.4,47.4,43.3,41.4,45.8,43.9,42.2,44.0,49.3,42.4,45.6,44.2,42.0,40.5,49.3,43.7,45.0,44.1,49.2,40.4,36.6,40.4,39.6,47.7
5,38.1,41.8,37.2,36.9,39.3,38.1,44.3,42.4,40.1,47.0,43.9,38.9,41.6,48.4,46.0,43.9,48.4,47.1,42.9,44.9,44.2,43.6,42.1,50.2,45.2,46.3,44.9,43.6,36.4,49.7,45.9,43.7,43.7,50.1,40.1,41.1,45.7,40.5,45.5
6,38.5,36.8,34.2,37.7,39.8,40.1,39.1,39.5,39.8,39.9,39.5,39.0,37.2,40.6,40.0,40.8,40.8,40.6,40.3,39.2,36.8,35.2,38.4,42.4,41.8,42.2,39.6,35.1,34.0,43.3,42.7,42.6,35.8,41.7,35.5,36.0,40.9,39.6,45.3
7,38.3,38.2,36.1,36.3,37.9,35.9,39.8,40.0,39.4,40.6,39.8,39.3,38.8,40.4,39.5,39.8,39.0,39.6,38.8,40.5,36.7,34.4,39.6,39.9,39.2,39.2,38.3,34.5,34.6,39.9,39.6,39.4,35.8,39.5,36.8,35.4,39.2,39.0,43.5
8,37.7,33.7,37.0,35.8,33.7,39.7,39.4,41.6,41.6,40.3,41.8,40.3,38.6,38.4,37.7,38.5,37.3,37.4,37.9,38.3,36.2,32.7,34.7,41.5,40.3,40.2,35.5,33.4,32.0,41.9,38.9,37.6,34.4,40.8,34.0,36.3,42.7,38.7,43.1
9,37.7,35.8,37.7,38.9,36.3,30.7,41.6,42.5,40.5,42.1,43.0,40.6,39.4,40.8,40.9,39.9,40.4,40.8,39.4,41.8,33.9,31.2,34.8,41.2,40.9,40.7,35.9,31.6,33.0,40.5,41.6,41.0,34.2,39.3,35.3,34.3,40.1,40.1,44.1
